transaction_id,item
product_0000,brand=packard
product_0000,price_segment=budget
product_0000,ram_bucket=unknown
product_0000,storage_bucket=128gb
product_0000,cpu_family=other
product_0000,rating_bucket=low
product_0001,brand=aspire
product_0001,price_segment=budget
product_0001,ram_bucket=unknown
product_0001,storage_bucket=128gb
product_0001,cpu_family=pentium
product_0001,rating_bucket=medium
product_0001,keyword=aspire
product_0001,keyword=linux
product_0002,brand=thinkpad
product_0002,price_segment=premium
product_0002,ram_bucket=unknown
product_0002,storage_bucket=128gb
product_0002,cpu_family=i5
product_0002,rating_bucket=low
product_0002,keyword=core
product_0002,keyword=thinkpad
product_0003,brand=probook
product_0003,price_segment=midrange
product_0003,ram_bucket=unknown
product_0003,storage_bucket=128gb
product_0003,cpu_family=i5
product_0003,rating_bucket=high
product_0003,keyword=core
product_0004,brand=thinkpad
product_0004,price_segment=premium
product_0004,ram_bucket=unknown
product_0004,storage_bucket=128gb
product_0004,cpu_family=i5
product_0004,rating_bucket=medium
product_0004,keyword=core
product_0004,keyword=thinkpad
product_0005,brand=aspire
product_0005,price_segment=midrange
product_0005,ram_bucket=unknown
product_0005,storage_bucket=128gb
product_0005,cpu_family=i5
product_0005,rating_bucket=low
product_0005,keyword=core
product_0005,keyword=aspire
product_0006,brand=thinkpad
product_0006,price_segment=midrange
product_0006,ram_bucket=unknown
product_0006,storage_bucket=128gb
product_0006,cpu_family=i3
product_0006,rating_bucket=low
product_0006,keyword=core
product_0006,keyword=thinkpad
product_0006,keyword=touch
product_0007,brand=pavilion
product_0007,price_segment=midrange
product_0007,ram_bucket=unknown
product_0007,storage_bucket=128gb
product_0007,cpu_family=i5
product_0007,rating_bucket=low
product_0007,keyword=core
product_0008,brand=inspiron
product_0008,price_segment=midrange
product_0008,ram_bucket=unknown
product_0008,storage_bucket=128gb
product_0008,cpu_family=i7
product_0008,rating_bucket=medium
product_0008,keyword=core
product_0009,brand=dell
product_0009,price_segment=premium
product_0009,ram_bucket=unknown
product_0009,storage_bucket=128gb
product_0009,cpu_family=i5
product_0009,rating_bucket=medium
product_0009,keyword=core
product_0009,keyword=dell
product_0009,keyword=touch
product_0010,brand=thinkpad
product_0010,price_segment=premium
product_0010,ram_bucket=unknown
product_0010,storage_bucket=128gb
product_0010,cpu_family=i5
product_0010,rating_bucket=medium
product_0010,keyword=core
product_0010,keyword=thinkpad
product_0011,brand=hp
product_0011,price_segment=budget
product_0011,ram_bucket=unknown
product_0011,storage_bucket=128gb
product_0011,cpu_family=i5
product_0011,rating_bucket=low
product_0011,keyword=core
product_0012,brand=thinkpad
product_0012,price_segment=premium
product_0012,ram_bucket=unknown
product_0012,storage_bucket=128gb
product_0012,cpu_family=i5
product_0012,rating_bucket=medium
product_0012,keyword=core
product_0012,keyword=thinkpad
product_0012,keyword=touch
product_0013,brand=hp
product_0013,price_segment=midrange
product_0013,ram_bucket=unknown
product_0013,storage_bucket=128gb
product_0013,cpu_family=i5
product_0013,rating_bucket=low
product_0013,keyword=core
product_0014,brand=asus
product_0014,price_segment=budget
product_0014,ram_bucket=unknown
product_0014,storage_bucket=128gb
product_0014,cpu_family=pentium
product_0014,rating_bucket=low
product_0014,keyword=home
product_0014,keyword=asus
product_0014,keyword=vivobook
product_0015,brand=dell
product_0015,price_segment=budget
product_0015,ram_bucket=unknown
product_0015,storage_bucket=128gb
product_0015,cpu_family=i5
product_0015,rating_bucket=high
product_0015,keyword=core
product_0015,keyword=dell
product_0015,keyword=linux
product_0016,brand=acer
product_0016,price_segment=midrange
product_0016,ram_bucket=unknown
product_0016,storage_bucket=128gb
product_0016,cpu_family=i3
product_0016,rating_bucket=low
product_0016,keyword=core
product_0016,keyword=home
product_0016,keyword=acer
product_0016,keyword=touch
product_0017,brand=acer
product_0017,price_segment=midrange
product_0017,ram_bucket=unknown
product_0017,storage_bucket=128gb
product_0017,cpu_family=i5
product_0017,rating_bucket=low
product_0017,keyword=core
product_0017,keyword=home
product_0017,keyword=acer
product_0017,keyword=aspire
product_0018,brand=dell
product_0018,price_segment=midrange
product_0018,ram_bucket=unknown
product_0018,storage_bucket=128gb
product_0018,cpu_family=i5
product_0018,rating_bucket=low
product_0018,keyword=core
product_0018,keyword=dell
product_0018,keyword=linux
product_0019,brand=asus
product_0019,price_segment=midrange
product_0019,ram_bucket=unknown
product_0019,storage_bucket=128gb
product_0019,cpu_family=i5
product_0019,rating_bucket=low
product_0019,keyword=core
product_0019,keyword=home
product_0019,keyword=asus
product_0019,keyword=vivobook
product_0020,brand=asus
product_0020,price_segment=midrange
product_0020,ram_bucket=unknown
product_0020,storage_bucket=128gb
product_0020,cpu_family=i5
product_0020,rating_bucket=low
product_0020,keyword=core
product_0020,keyword=asus
product_0020,keyword=geforce
product_0020,keyword=strix
product_0021,brand=acer
product_0021,price_segment=midrange
product_0021,ram_bucket=unknown
product_0021,storage_bucket=128gb
product_0021,cpu_family=i5
