support,itemsets,n_items
1.0,ram_bucket=unknown,1
1.0,storage_bucket=128gb,1
1.0,"ram_bucket=unknown, storage_bucket=128gb",2
0.8034188034188035,"keyword=core, storage_bucket=128gb",2
0.8034188034188035,"keyword=core, ram_bucket=unknown, storage_bucket=128gb",3
0.8034188034188035,"keyword=core, ram_bucket=unknown",2
0.8034188034188035,keyword=core,1
0.5213675213675214,"rating_bucket=low, storage_bucket=128gb",2
0.5213675213675214,"ram_bucket=unknown, rating_bucket=low",2
0.5213675213675214,"ram_bucket=unknown, rating_bucket=low, storage_bucket=128gb",3
0.5213675213675214,rating_bucket=low,1
0.47863247863247865,"keyword=home, ram_bucket=unknown, storage_bucket=128gb",3
0.47863247863247865,keyword=home,1
0.47863247863247865,"keyword=home, storage_bucket=128gb",2
0.47863247863247865,"keyword=home, ram_bucket=unknown",2
0.4358974358974359,"keyword=core, ram_bucket=unknown, rating_bucket=low, storage_bucket=128gb",4
0.4358974358974359,"keyword=core, rating_bucket=low",2
0.4358974358974359,"keyword=core, ram_bucket=unknown, rating_bucket=low",3
0.4358974358974359,"keyword=core, rating_bucket=low, storage_bucket=128gb",3
0.4188034188034188,"cpu_family=i5, ram_bucket=unknown",2
0.4188034188034188,"cpu_family=i5, ram_bucket=unknown, storage_bucket=128gb",3
0.4188034188034188,cpu_family=i5,1
0.4188034188034188,"cpu_family=i5, storage_bucket=128gb",2
0.41025641025641024,"cpu_family=i5, keyword=core, ram_bucket=unknown, storage_bucket=128gb",4
0.41025641025641024,"cpu_family=i5, keyword=core",2
0.41025641025641024,"cpu_family=i5, keyword=core, ram_bucket=unknown",3
0.41025641025641024,"cpu_family=i5, keyword=core, storage_bucket=128gb",3
0.3504273504273504,"keyword=core, keyword=home, storage_bucket=128gb",3
0.3504273504273504,"keyword=core, keyword=home, ram_bucket=unknown, storage_bucket=128gb",4
0.3504273504273504,"keyword=core, keyword=home, ram_bucket=unknown",3
0.3504273504273504,"keyword=core, keyword=home",2
0.3418803418803419,"price_segment=premium, ram_bucket=unknown",2
0.3418803418803419,"price_segment=premium, storage_bucket=128gb",2
0.3418803418803419,"price_segment=premium, ram_bucket=unknown, storage_bucket=128gb",3
0.3418803418803419,price_segment=premium,1
0.3333333333333333,price_segment=budget,1
0.3333333333333333,"price_segment=budget, storage_bucket=128gb",2
0.3333333333333333,"price_segment=budget, ram_bucket=unknown, storage_bucket=128gb",3
0.3333333333333333,"price_segment=budget, ram_bucket=unknown",2
0.3247863247863248,price_segment=midrange,1
0.3247863247863248,"price_segment=midrange, storage_bucket=128gb",2
0.3247863247863248,"price_segment=midrange, ram_bucket=unknown",2
0.3247863247863248,"price_segment=midrange, ram_bucket=unknown, storage_bucket=128gb",3
0.3247863247863248,"keyword=core, price_segment=midrange, ram_bucket=unknown, storage_bucket=128gb",4
0.3247863247863248,"keyword=core, price_segment=midrange, storage_bucket=128gb",3
0.3247863247863248,"keyword=core, price_segment=midrange",2
0.3247863247863248,"keyword=core, price_segment=midrange, ram_bucket=unknown",3
0.3162393162393162,"keyword=core, price_segment=premium, storage_bucket=128gb",3
0.3162393162393162,"keyword=core, price_segment=premium, ram_bucket=unknown, storage_bucket=128gb",4
0.3162393162393162,"keyword=core, price_segment=premium, ram_bucket=unknown",3
0.3162393162393162,"keyword=core, price_segment=premium",2
0.29914529914529914,"ram_bucket=unknown, rating_bucket=medium",2
0.29914529914529914,"rating_bucket=medium, storage_bucket=128gb",2
0.29914529914529914,rating_bucket=medium,1
0.29914529914529914,"ram_bucket=unknown, rating_bucket=medium, storage_bucket=128gb",3
0.27350427350427353,"cpu_family=i7, keyword=core, ram_bucket=unknown, storage_bucket=128gb",4
0.27350427350427353,"cpu_family=i7, keyword=core",2
0.27350427350427353,"cpu_family=i7, storage_bucket=128gb",2
0.27350427350427353,"cpu_family=i7, ram_bucket=unknown",2
0.27350427350427353,"cpu_family=i7, keyword=core, ram_bucket=unknown",3
0.27350427350427353,"cpu_family=i7, keyword=core, storage_bucket=128gb",3
0.27350427350427353,cpu_family=i7,1
0.27350427350427353,"cpu_family=i7, ram_bucket=unknown, storage_bucket=128gb",3
0.2564102564102564,"keyword=core, ram_bucket=unknown, rating_bucket=medium, storage_bucket=128gb",4
0.2564102564102564,"keyword=core, ram_bucket=unknown, rating_bucket=medium",3
0.2564102564102564,"keyword=home, ram_bucket=unknown, rating_bucket=low, storage_bucket=128gb",4
0.2564102564102564,"keyword=core, rating_bucket=medium, storage_bucket=128gb",3
0.2564102564102564,"keyword=core, rating_bucket=medium",2
0.2564102564102564,"keyword=home, ram_bucket=unknown, rating_bucket=low",3
0.2564102564102564,"keyword=home, rating_bucket=low",2
0.2564102564102564,"keyword=home, rating_bucket=low, storage_bucket=128gb",3
0.24786324786324787,"keyword=core, keyword=geforce, storage_bucket=128gb",3
0.24786324786324787,"keyword=core, keyword=geforce, ram_bucket=unknown",3
0.24786324786324787,"keyword=geforce, ram_bucket=unknown, storage_bucket=128gb",3
0.24786324786324787,"keyword=core, keyword=geforce",2
0.24786324786324787,keyword=geforce,1
0.24786324786324787,"keyword=geforce, ram_bucket=unknown",2
0.24786324786324787,"keyword=core, keyword=geforce, ram_bucket=unknown, storage_bucket=128gb",4
0.24786324786324787,"keyword=geforce, storage_bucket=128gb",2
0.2222222222222222,"cpu_family=i5, keyword=core, ram_bucket=unknown, rating_bucket=low",4
0.2222222222222222,"cpu_family=i5, keyword=core, rating_bucket=low, storage_bucket=128gb",4
0.2222222222222222,"cpu_family=i5, keyword=core, ram_bucket=unknown, rating_bucket=low, storage_bucket=128gb",5
0.2222222222222222,"cpu_family=i5, rating_bucket=low",2
0.2222222222222222,"cpu_family=i5, rating_bucket=low, storage_bucket=128gb",3
0.2222222222222222,"cpu_family=i5, ram_bucket=unknown, rating_bucket=low",3
