antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"keyword=aspire, keyword=home","keyword=acer, ram_bucket=unknown, storage_bucket=128gb",0.10256410256410256,0.21367521367521367,0.10256410256410256,1.0,4.680000000000001,1.0,0.08064869603331142,inf,0.8761904761904762,0.48,1.0,0.74
"keyword=geforce, keyword=home, price_segment=midrange, ram_bucket=unknown",keyword=core,0.10256410256410256,0.8034188034188035,0.10256410256410256,1.0,1.2446808510638296,1.0,0.020162174008327857,inf,0.21904761904761907,0.1276595744680851,1.0,0.5638297872340425
"keyword=core, keyword=geforce, keyword=home, price_segment=midrange",ram_bucket=unknown,0.10256410256410256,1.0,0.10256410256410256,1.0,1.0,1.0,0.0,inf,0.0,0.10256410256410256,0.0,0.5512820512820513
"keyword=geforce, keyword=home, price_segment=midrange","keyword=core, ram_bucket=unknown",0.10256410256410256,0.8034188034188035,0.10256410256410256,1.0,1.2446808510638296,1.0,0.020162174008327857,inf,0.21904761904761907,0.1276595744680851,1.0,0.5638297872340425
rating_bucket=low,ram_bucket=unknown,0.5213675213675214,1.0,0.5213675213675214,1.0,1.0,1.0,0.0,inf,0.0,0.5213675213675215,0.0,0.7606837606837606
"keyword=geforce, keyword=home, rating_bucket=low",ram_bucket=unknown,0.11965811965811966,1.0,0.11965811965811966,1.0,1.0,1.0,0.0,inf,0.0,0.11965811965811966,0.0,0.5598290598290598
"keyword=geforce, keyword=home, rating_bucket=low",storage_bucket=128gb,0.11965811965811966,1.0,0.11965811965811966,1.0,1.0,1.0,0.0,inf,0.0,0.11965811965811966,0.0,0.5598290598290598
"keyword=geforce, keyword=home, ram_bucket=unknown, rating_bucket=low","keyword=core, storage_bucket=128gb",0.11965811965811966,0.8034188034188035,0.11965811965811966,1.0,1.2446808510638296,1.0,0.023522536343049155,inf,0.22330097087378634,0.14893617021276595,1.0,0.574468085106383
"keyword=core, rating_bucket=low",storage_bucket=128gb,0.4358974358974359,1.0,0.4358974358974359,1.0,1.0,1.0,0.0,inf,0.0,0.4358974358974359,0.0,0.717948717948718
cpu_family=i5,ram_bucket=unknown,0.4188034188034188,1.0,0.4188034188034188,1.0,1.0,1.0,0.0,inf,0.0,0.4188034188034188,0.0,0.7094017094017094
"cpu_family=i5, ram_bucket=unknown",storage_bucket=128gb,0.4188034188034188,1.0,0.4188034188034188,1.0,1.0,1.0,0.0,inf,0.0,0.4188034188034188,0.0,0.7094017094017094
"cpu_family=i5, storage_bucket=128gb",ram_bucket=unknown,0.4188034188034188,1.0,0.4188034188034188,1.0,1.0,1.0,0.0,inf,0.0,0.4188034188034188,0.0,0.7094017094017094
